gene	chr	X5SS	X3SS	strand	exon_go1	exon_go2	AFEPSI_go1	AFEPSI_go2	width	CPAbP	U1_dependent_CPAbP
ENSG00000138182	10	89701717	89737387	+	10:89701610-89701717	10:89737387-89738617	0.873045760584275	0.301152573319639	35670	Y	Y
ENSG00000138286	10	73168386	73232939	+	10:73168119-73168386	10:73232939-73233197	1	1	64553	Y	Y
ENSG00000138326	10	78034421	78035352	+	10:78033760-78034421	10:78035352-78035417	0.463614127574893	0.536385872425107	931	N	N
ENSG00000138347	10	68106183	68109237	+	10:68106117-68106183	10:68109237-68109723	0.46102798513734	0.53897201486266	3054	Y	N
ENSG00000138375	2	216412734	216412743	+	2:216412414-216412734	2:216412743-216412936	0.802287581699346	0.5	9	N	N
ENSG00000138385	2	169798976	169799279	+	2:169798871-169798976	2:169799279-169799516	0.434719354148606	0.024676557279957	303	N	N
ENSG00000138386	2	190649360	190649831	+	2:190649070-190649360	2:190649831-190649982	0.841011466011466	0.382371007371007	471	N	N
ENSG00000138398	2	169584497	169584568	+	2:169584344-169584497	2:169584568-169584899	0.490080416755431	0.173940701405023	71	N	N
ENSG00000138448	2	186590523	186633329	+	2:186590056-186590523	2:186633329-186633374	0.952380952380952	0.285714285714286	42806	Y	N
ENSG00000138604	15	69160757	69255794	+	15:69160584-69160757	15:69255794-69256392	1	1	95037	Y	Y
ENSG00000138641	4	88592574	88593378	+	4:88592434-88592574	4:88593378-88593494	0.861448511362916	0.277102977274168	804	N	N
ENSG00000138642	4	88379120	88390652	+	4:88378739-88379120	4:88390652-88390879	0.732142857142857	1	11532	Y	N
ENSG00000138660	4	112232174	112257772	+	4:112231740-112232174	4:112257772-112257797	0.260335393673559	0.256205673758865	25598	Y	N
ENSG00000138709	4	128061401	128061514	+	4:128061286-128061401	4:128061514-128062219	0.274319132182035	0.725680867817965	113	N	N
ENSG00000138771	4	76586469	76639517	+	4:76586140-76586469	4:76639517-76639642	0.427850158704765	0.207547169811321	53048	Y	Y
ENSG00000138834	16	1706657	1743332	+	16:1706183-1706657	16:1743332-1747275	1	1	36675	Y	N
ENSG00000139496	13	25301880	25320273	+	13:25301556-25301880	13:25320273-25320595	0.807167967075367	0.5784960987739	18393	Y	N
ENSG00000139546	12	53501461	53501591	+	12:53500921-53501461	12:53501591-53501708	0.967899584076055	0.0970291146761735	130	N	N
ENSG00000139641	12	56119151	56128056	+	12:56119088-56119151	12:56128056-56128709	0.174438003768173	0.854267126631873	8905	Y	N
ENSG00000139644	12	49741768	49741809	+	12:49741544-49741768	12:49741809-49742607	0.981579846173658	0.0464409228087398	41	N	N
ENSG00000139842	13	113208607	113209600	+	13:113208193-113208607	13:113209600-113209775	0.0656649876905973	0.934335012309403	993	Y	N
ENSG00000139977	14	57390705	57390957	+	14:57390544-57390705	14:57390957-57391728	1	1	252	N	N
ENSG00000140153	14	102139729	102139844	+	14:102139503-102139729	14:102139844-102140172	0.183098591549296	0.954225352112676	115	N	N
ENSG00000140157	15	22839174	22853212	+	15:22838641-22839174	15:22853212-22853268	0.876075037467642	0.191424962532358	14038	Y	Y
ENSG00000140264	15	43777502	43791842	+	15:43777087-43777502	15:43791842-43792611	0.614583333333333	0.960057061340941	14340	Y	Y
ENSG00000140367	15	75843846	75868951	+	15:75843307-75843846	15:75868951-75869010	1	1	25105	Y	N
ENSG00000140382	15	77421004	77421011	+	15:77420412-77421004	15:77421011-77421094	0.719360237529178	0.280639762470822	7	N	N
ENSG00000140416	15	63048707	63062576	+	15:63048439-63048707	15:63062576-63062892	0.324313127047502	0.675686872952498	13869	Y	N
ENSG00000140443	15	98649675	98900610	+	15:98648539-98649675	15:98900610-98900763	0.895133666064309	0.104866333935691	250935	Y	N
ENSG00000140553	15	90935375	90952929	+	15:90934944-90935375	15:90952929-90953046	0.6818957839366	0.876253274212458	17554	Y	Y
ENSG00000140575	15	90388396	90449559	+	15:90388242-90388396	15:90449559-90449643	0.362181182983571	0.262133258868103	61163	Y	N
ENSG00000140853	16	56989617	57080819	+	16:56989485-56989617	16:57080819-57081610	0.937853107344633	0.372881355932203	91202	Y	N
ENSG00000140854	16	57735855	57735864	+	16:57735739-57735855	16:57735864-57736116	0.695371634466329	0.304628365533671	9	N	N
ENSG00000140939	16	67170574	67173750	+	16:67170497-67170574	16:67173750-67174046	0.146341463414634	0.975609756097561	3176	Y	N
ENSG00000141013	16	90022724	90031176	+	16:90022600-90022724	16:90031176-90031499	0.666666666666667	0.666666666666667	8452	Y	N
ENSG00000141068	17	27456874	27588194	+	17:27456470-27456874	17:27588194-27588535	0.650862309733278	0.524895266024298	131320	Y	Y
ENSG00000141127	17	18856476	18858068	+	17:18856299-18856476	17:18858068-18858261	0.229016578085734	0.559450016957674	1592	N	N
ENSG00000141219	17	73232489	73232529	+	17:73232233-73232489	17:73232529-73232717	0.842857142857143	0.314285714285714	40	Y	N
ENSG00000141279	17	47531555	47569417	+	17:47531108-47531555	17:47569417-47569494	0.74746051371565	0.412602882529062	37862	Y	N
ENSG00000141337	17	68259426	68291491	+	17:68259182-68259426	17:68291491-68291568	0.574652777777778	0.425347222222222	32065	Y	N
ENSG00000141404	18	11689939	11753548	+	18:11689264-11689939	18:11753548-11753682	0.43178818693619	0.528996126789301	63609	Y	N
ENSG00000141429	18	35581862	35654560	+	18:35581740-35581862	18:35654560-35654801	0.609881082772649	0.890118917227351	72698	Y	N
ENSG00000141449	18	21242393	21449510	+	18:21242242-21242393	18:21449510-21449836	0.881443298969072	0.474226804123711	207117	Y	Y
ENSG00000141480	17	4710744	4718612	+	17:4710596-4710744	17:4718612-4718684	0.770307500888731	0.549902239601849	7868	N	N
ENSG00000141526	17	82228545	82229032	+	17:82228397-82228545	17:82229032-82231926	0.169472360855746	0.830527639144254	487	N	N
ENSG00000141552	17	81890851	81891713	+	17:81890790-81890851	17:81891713-81891863	0.150468947962053	0.85370418868391	862	N	N
ENSG00000141905	19	3359685	3366549	+	19:3359563-3359685	19:3366549-3366666	0.225576188323589	0.774423811676411	6864	Y	N
ENSG00000141971	19	17413305	17419847	+	19:17413221-17413305	19:17419847-17420225	0.189112103174603	0.922639715608466	6542	Y	N
ENSG00000142330	2	240587052	240594241	+	2:240586734-240587052	2:240594241-240594709	0.887640449438202	0.449438202247191	7189	N	N
ENSG00000142634	1	15410279	15427150	+	1:15409888-15410279	1:15427150-15427284	0.856413994169096	0.574344023323615	16871	N	N
ENSG00000142655	1	10475002	10495274	+	1:10474950-10475002	1:10495274-10495321	0.597417344887697	0.402582655112303	20272	Y	N
ENSG00000142676	1	23692060	23692306	+	1:23691742-23692060	1:23692306-23692759	0.112489577660414	0.887510422339586	246	N	N
ENSG00000142794	1	21440378	21473377	+	1:21440128-21440378	1:21473377-21473585	1	1	32999	Y	Y
ENSG00000142937	1	44775600	44775636	+	1:44775540-44775600	1:44775636-44776140	0.310058512261596	0.689941487738404	36	N	N
ENSG00000142949	1	43531090	43598074	+	1:43530876-43531090	1:43598074-43598913	0.413867428012289	0.328793774319066	66984	Y	N
ENSG00000143033	1	93079531	93118345	+	1:93079235-93079531	1:93118345-93118440	0.880434782608696	0.478260869565217	38814	Y	N
ENSG00000143155	1	168179181	168198919	+	1:168178962-168179181	1:168198919-168198981	0.903558052434457	0.578651685393258	19738	Y	Y
ENSG00000143190	1	167220958	167389588	+	1:167220876-167220958	1:167389588-167389761	0.86864406779661	0.525423728813559	168630	Y	Y
ENSG00000143224	1	161166672	161167100	+	1:161166410-161166672	1:161167100-161167486	1	1	428	N	N
ENSG00000143252	1	161314874	161323614	+	1:161314257-161314874	1:161323614-161323670	0.734691073858789	0.346127891658452	8740	Y	Y
ENSG00000143373	1	151282079	151282288	+	1:151281618-151282079	1:151282288-151282395	0.269230769230769	0.955128205128205	209	N	N
ENSG00000143382	1	150549499	150552088	+	1:150549369-150549499	1:150552088-150552308	1	1	2589	Y	Y
ENSG00000143537	1	155052777	155054083	+	1:155050946-155052777	1:155054083-155054148	0.912646959693888	0.618910961755784	1306	Y	N
ENSG00000143569	1	154220244	154220849	+	1:154220179-154220244	1:154220849-154221040	0.0158273381294964	0.171423228542998	605	Y	N
ENSG00000143624	1	153728784	153740651	+	1:153728050-153728784	1:153740651-153740734	0.814315352697095	0.742738589211618	11867	Y	N
ENSG00000143641	1	230067406	230255358	+	1:230067238-230067406	1:230255358-230255438	0.853086118088785	0.146913881911215	187952	Y	Y
ENSG00000143971	2	67397671	67399169	+	2:67397322-67397671	2:67399169-67399297	1	1	1498	Y	N
ENSG00000144118	2	120252980	120278615	+	2:120252805-120252980	2:120278615-120278778	0.593230005367687	0.937846663088209	25635	Y	N
ENSG00000144224	2	135742011	135770571	+	2:135741734-135742011	2:135770571-135770735	0.417389056824744	0.582610943175256	28560	Y	Y
ENSG00000144283	2	158457218	158457455	+	2:158456964-158457218	2:158457455-158458331	0.968023255813953	0.127906976744186	237	N	N
ENSG00000144357	2	169828052	170080024	+	2:169827454-169828052	2:170080024-170080684	0.869957285239677	0.396139851289353	251972	Y	Y
ENSG00000144468	2	226836199	226839409	+	2:226835936-226836199	2:226839409-226839627	0.658536585365854	0.682926829268293	3210	Y	N
ENSG00000144524	2	231781883	231786383	+	2:231781671-231781883	2:231786383-231786538	0.0973451327433628	0.983775811209439	4500	Y	N
ENSG00000144554	3	10026626	10098720	+	3:10026414-10026626	3:10098720-10099660	0.256305868471634	0.743694131528366	72094	Y	N
ENSG00000144674	3	37243622	37328963	+	3:37243177-37243622	3:37328963-37329339	0.486075952068172	0.513924047931828	85341	Y	Y
ENSG00000144791	3	45596287	45668294	+	3:45594324-45596287	3:45668294-45668356	0.723932962440624	0.466732135286432	72007	Y	Y
ENSG00000144824	3	111859576	111859750	+	3:111859180-111859576	3:111859750-111859878	0.943874977830983	0.0766091934911767	174	N	N
ENSG00000145012	3	188154021	188341663	+	3:188153872-188154021	3:188341663-188341719	0.232669337032597	0.767330662967403	187642	Y	N
ENSG00000145425	4	151099966	151102871	+	4:151099624-151099966	4:151102871-151104286	0.610555087934552	0.581628728514629	2905	Y	N
ENSG00000145494	5	1801549	1814339	+	5:1801400-1801549	5:1814339-1814699	0.772980812137439	0.551427933958054	12790	Y	Y
ENSG00000145715	5	87269055	87341290	+	5:87267883-87269055	5:87341290-87341321	0.847063310450038	0.260869565217391	72235	Y	Y
ENSG00000145730	5	102755469	102949537	+	5:102754667-102755469	5:102949537-102949617	0.880522088353414	0.716867469879518	194068	Y	N
ENSG00000145734	5	71456089	71466096	+	5:71455651-71456089	5:71466096-71466221	0.921474358974359	0.471153846153846	10007	Y	N
ENSG00000145779	5	119268907	119356019	+	5:119268692-119268907	5:119356019-119356121	0.970319634703196	0.178082191780822	87112	Y	N
ENSG00000145833	5	134758955	134766917	+	5:134758771-134758955	5:134766917-134767060	0.686896420069173	0.626207159861654	7962	Y	N
ENSG00000145868	5	148384039	148413240	+	5:148383935-148384039	5:148413240-148414306	0.939024390243902	0.365853658536585	29201	Y	Y
ENSG00000145907	5	151772036	151772279	+	5:151771910-151772036	5:151772279-151772668	0.964194162889609	0.0358058371103912	243	N	N
ENSG00000145916	5	178131376	178145970	+	5:178130996-178131376	5:178145970-178147635	0.907407407407407	0.555555555555556	14594	Y	N
ENSG00000145996	6	20534574	21198021	+	6:20534457-20534574	6:21198021-21198104	0.872282608695652	0.510869565217391	663447	Y	N
ENSG00000146007	5	140700912	140702006	+	5:140700819-140700912	5:140702006-140702129	0.14070351758794	0.976549413735343	1094	N	N
ENSG00000146143	6	57317701	57382031	+	6:57317624-57317701	6:57382031-57383589	0.926634768740032	0.440191387559809	64330	Y	N
ENSG00000146242	6	82363908	82364244	+	6:82363631-82363908	6:82364244-82364329	0.90841384863124	0.214573268921095	336	N	N
ENSG00000146457	6	159727333	159727506	+	6:159725585-159727333	6:159727506-159727703	0.579912997035993	0.420087002964007	173	N	N
ENSG00000146463	1	35269085	35398864	+	1:35268709-35269085	1:35398864-35399043	0.815909090909091	0.736363636363636	129779	Y	N
ENSG00000146648	7	55019365	55152546	+	7:55019017-55019365	7:55152546-55152664	0.819055944055944	0.723776223776224	133181	Y	Y
ENSG00000146729	7	55951930	55964581	+	7:55951793-55951930	7:55964581-55964701	0.477090273762412	0.522909726237588	12651	Y	N
ENSG00000146731	7	56051985	56058362	+	7:56051685-56051985	7:56058362-56058521	0.57719912065435	0.42280087934565	6377	Y	N
ENSG00000146828	7	100852839	100861737	+	7:100852713-100852839	7:100861737-100861911	0.722222222222222	0.555555555555556	8898	Y	N
ENSG00000146872	17	62481206	62596585	+	17:62481121-62481206	17:62596585-62596674	0.895555555555556	0.417777777777778	115379	Y	Y
ENSG00000146963	7	139360322	139412551	+	7:139359846-139360322	7:139412551-139412825	0.464418375409795	0.535581624590205	52229	Y	N
ENSG00000147050	X	44873712	45020610	+	X:44873177-44873712	X:45020610-45020730	0.85	0.6	146898	Y	Y
ENSG00000147140	X	71283721	71291995	+	X:71283192-71283721	X:71291995-71293041	0.870509088403838	0.346444934584667	8274	Y	N
ENSG00000147202	X	96685190	96735758	+	X:96684663-96685190	X:96735758-96735790	0.715877110694184	0.731707317073171	50568	Y	Y
ENSG00000147421	8	28891019	28963811	+	8:28890395-28891019	8:28963811-28963890	1	1	72792	Y	N
ENSG00000147457	8	23246994	23256460	+	8:23246091-23246994	8:23256460-23256593	0.14070814094451	0.808854078713296	9466	Y	N
ENSG00000147475	8	37736678	37736681	+	8:37736601-37736678	8:37736681-37737262	0.526004439296412	0.473995560703588	3	N	N
ENSG00000147526	8	38757409	38787236	+	8:38757239-38757409	8:38787236-38787743	0.751466577879249	0.37638730339929	29827	Y	Y
ENSG00000147601	8	73012505	73026940	+	8:73008864-73012505	8:73026940-73027052	0.821917808219178	0.712328767123288	14435	Y	N
ENSG00000147996	9	65676130	65681574	+	9:65675799-65676130	9:65681574-65682577	0.244444444444444	0.959259259259259	5444	Y	N
ENSG00000148019	9	78236659	78265859	+	9:78236062-78236659	9:78265859-78265906	0.886635220125786	0.336792452830189	29200	Y	N
ENSG00000148120	9	94726751	95003917	+	9:94726701-94726751	9:95003917-95004286	0.348837209302326	0.324456429233359	277166	Y	N
ENSG00000148180	9	121268219	121326512	+	9:121268060-121268219	9:121326512-121326792	0.136230322757634	0.905805075472454	58293	Y	N
ENSG00000148303	9	133348817	133348922	+	9:133348218-133348817	9:133348922-133349042	0.0631254152928519	0.936874584707148	105	N	N
ENSG00000148339	9	128068580	128098304	+	9:128068201-128068580	9:128098304-128098725	0.358678339080881	0.641321660919119	29724	Y	Y
ENSG00000148356	9	127452084	127479383	+	9:127451486-127452084	9:127479383-127479505	0.866666666666667	0.44	27299	Y	Y
ENSG00000148459	10	26697840	26702162	+	10:26697701-26697840	10:26702162-26702194	0.660850935617727	0.339149064382273	4322	N	N
ENSG00000148516	10	31319292	31495776	+	10:31318783-31319292	10:31495776-31495838	0.85	0.6	176484	Y	N
ENSG00000148737	10	112950945	113158667	+	10:112950247-112950945	10:113158667-113158717	0.945454545454545	0.218181818181818	207722	Y	N
ENSG00000148814	10	132332256	132344498	+	10:132332154-132332256	10:132344498-132344867	1	1	12242	Y	N
ENSG00000148843	10	103396730	103442210	+	10:103396626-103396730	10:103442210-103442460	0.913768115942029	0.517391304347826	45480	Y	Y
ENSG00000148985	11	3798100	3808541	+	11:3797819-3798100	11:3808541-3808651	0.316070824462338	0.683929175537662	10441	Y	N
ENSG00000149177	11	47981008	48144890	+	11:47980558-47981008	11:48144890-48144898	0.765	0.47	163882	Y	N
ENSG00000149292	11	113315200	113315951	+	11:113314529-113315200	11:113315951-113316315	1	1	751	Y	N
ENSG00000149311	11	108227696	108325310	+	11:108222484-108227696	11:108325310-108325544	0.899728997289973	0.601626016260163	97614	Y	N
ENSG00000149503	11	62124163	62146658	+	11:62123998-62124163	11:62146658-62146902	0.531870707112028	0.468129292887972	22495	Y	N
ENSG00000149782	11	64251748	64254415	+	11:64251523-64251748	11:64254415-64254492	0.509098809155728	0.31638418079096	2667	N	N
ENSG00000149925	16	30064248	30065760	+	16:30064164-30064248	16:30065760-30065927	0.600570987514897	0.686762028829347	1512	Y	N
ENSG00000150527	14	39265421	39267086	+	14:39265284-39265421	14:39267086-39267522	0.285714285714286	0.952380952380952	1665	Y	N
ENSG00000150753	5	10250445	10258386	+	5:10250216-10250445	5:10258386-10258535	0.62133879184544	0.454113404536989	7941	Y	Y
ENSG00000150995	3	4493605	4596140	+	3:4493345-4493605	3:4596140-4596184	0.689711108683244	0.310288891316756	102535	Y	N
ENSG00000151422	5	108748000	108748962	+	5:108747841-108748000	5:108748962-108748993	0.685043717457511	0.424956282542489	962	N	N
ENSG00000151465	10	12196023	12196130	+	10:12195965-12196023	10:12196130-12196319	0.0222575516693164	0.988871224165342	107	N	N
ENSG00000151689	2	190344078	190360018	+	2:190343570-190344078	2:190360018-190360306	0.875	0.75	15940	Y	N
ENSG00000151806	4	44678787	44683235	+	4:44678420-44678787	4:44683235-44683318	0.6622629889843	0.581188307745685	4448	Y	N
ENSG00000151883	5	50667186	50834842	+	5:50666637-50667186	5:50834842-50835015	0.858974358974359	0.564102564102564	167656	Y	N
ENSG00000152061	1	174159657	174370979	+	1:174159410-174159657	1:174370979-174371072	0.63265306122449	0.651360544217687	211322	Y	Y
ENSG00000152117	2	131493140	131500506	+	2:131492813-131493140	2:131500506-131500581	0.855263157894737	0.578947368421053	7366	N	N
ENSG00000152133	2	37084570	37088364	+	2:37084451-37084570	2:37088364-37088440	0.294305929919137	0.830525606469003	3794	Y	N
ENSG00000152242	18	46173712	46174019	+	18:46173553-46173712	18:46174019-46174330	0.5332383665717	0.680911680911681	307	N	N
ENSG00000152256	2	172556346	172568741	+	2:172555969-172556346	2:172568741-172568817	0.932367149758454	0.405797101449275	12395	Y	N
ENSG00000152348	5	81972591	82178490	+	5:81972023-81972591	5:82178490-82178587	1	1	205899	Y	Y
ENSG00000152492	3	191329723	191357998	+	3:191329085-191329723	3:191357998-191358124	0.837719298245614	0.649122807017544	28275	Y	N
ENSG00000152556	12	48106311	48119264	+	12:48105911-48106311	12:48119264-48119462	0.107438016528926	0.973140495867769	12953	Y	N
ENSG00000152601	3	152269092	152269103	+	3:152268040-152269092	3:152269103-152269407	0.698655934154716	0.301344065845284	11	N	N
ENSG00000152684	5	52788414	52799885	+	5:52787916-52788414	5:52799885-52801120	0.0957991284078241	0.942776426472079	11471	Y	N
ENSG00000152767	13	98143492	98393643	+	13:98143094-98143492	13:98393643-98393718	0.393581112996217	0.350568825491698	250151	Y	Y
ENSG00000153015	5	64769188	64800245	+	5:64768930-64769188	5:64800245-64800327	0.635208166384387	0.293478260869565	31057	Y	N
ENSG00000153037	5	112861417	112864434	+	5:112861188-112861417	5:112864434-112865219	0.31081238690024	0.68918761309976	3017	Y	N
ENSG00000153113	5	96662497	96663000	+	5:96662203-96662497	5:96663000-96663166	0.134213189105053	0.0394224915304869	503	N	N
ENSG00000153214	2	112055756	112066936	+	2:112055269-112055756	2:112066936-112067067	1	1	11180	Y	N
ENSG00000153487	13	110714285	110714982	+	13:110713278-110714285	13:110714982-110716008	0.893518518518518	0.324074074074074	697	N	N
ENSG00000153914	5	66144537	66170585	+	5:66144218-66144537	5:66170585-66170947	0.816502700617284	0.551890432098765	26048	Y	Y
ENSG00000153944	17	57256804	57674918	+	17:57256523-57256804	17:57674918-57675126	0.654412702734702	0.345587297265298	418114	Y	N
ENSG00000154144	11	124623233	124626473	+	11:124622836-124623233	11:124626473-124626609	0.909090909090909	0.363636363636364	3240	Y	N
ENSG00000154217	17	67378202	67578184	+	17:67377281-67378202	17:67578184-67578257	0.532257332092858	0.467742667907142	199982	Y	N
ENSG00000154305	1	222618243	222644303	+	1:222618097-222618243	1:222644303-222644586	0.506350569200273	0.352021284934293	26060	Y	N
ENSG00000154358	1	228213710	228245413	+	1:228213441-228213710	1:228245413-228245688	0.548018041460664	0.412698412698413	31703	Y	N
ENSG00000154608	4	118467668	118509904	+	4:118467590-118467668	4:118509904-118510030	0.4337267670601	0.580577601410935	42236	Y	N
ENSG00000154727	21	25735070	25735384	+	21:25734570-25735070	21:25735384-25735578	0.46520601279889	0.53479398720111	314	Y	N
ENSG00000154743	3	12484880	12489780	+	3:12484432-12484880	3:12489780-12489989	0.872395833333333	0.765625	4900	N	N
ENSG00000154781	3	14651878	14669934	+	3:14651746-14651878	3:14669934-14670086	0.396415770609319	0.603584229390681	18056	Y	N
ENSG00000154920	17	50373277	50378595	+	17:50373220-50373277	17:50378595-50378681	0.908163265306122	0.551020408163265	5318	Y	N
ENSG00000155115	6	110958826	110959172	+	6:110958706-110958826	6:110959172-110959252	0.0535289264425361	0.946471073557464	346	N	N
ENSG00000155313	21	15730438	15811137	+	21:15730025-15730438	21:15811137-15811210	0.891203703703704	0.652777777777778	80699	Y	N
ENSG00000155324	5	126360459	126423146	+	5:126360132-126360459	5:126423146-126423689	0.976608187134503	0.713450292397661	62687	Y	N
ENSG00000155363	1	112674729	112674737	+	1:112674421-112674729	1:112674737-112675049	0.444668700280783	0.555331299719217	8	N	N
ENSG00000155903	3	141487216	141540533	+	3:141487027-141487216	3:141540533-141540609	0.906666666666667	0.56	53317	Y	N
ENSG00000156110	10	74151343	74176551	+	10:74151202-74151343	10:74176551-74176886	0.344196220055141	0.655803779944859	25208	Y	N
ENSG00000156170	8	94895927	95024989	+	8:94895767-94895927	8:95024989-95025205	0.200175438596491	0.635394736842105	129062	Y	Y
ENSG00000156265	21	29091576	29092254	+	21:29091501-29091576	21:29092254-29092581	0.625	0.75	678	N	N
ENSG00000156273	21	29298953	29299416	+	21:29298922-29298953	21:29299416-29299598	0.861363636363636	0.349242424242424	463	N	N
ENSG00000156398	10	102714995	102733554	+	10:102714538-102714995	10:102733554-102733603	0.920833333333333	0.475	18559	Y	N
ENSG00000156463	5	145936694	145937823	+	5:145936578-145936694	5:145937823-145938306	1	1	1129	Y	N
ENSG00000156535	6	73696289	73782614	+	6:73695785-73696289	6:73782614-73782755	0.771496212121212	0.544886363636364	86325	Y	N
ENSG00000156787	8	123072846	123100807	+	8:123072682-123072846	8:123100807-123101087	0.869186046511628	0.523255813953488	27961	Y	N
ENSG00000156860	16	30659977	30665035	+	16:30658431-30659977	16:30665035-30665079	0.666974610609166	0.282121971595656	5058	Y	Y
ENSG00000156958	15	49156016	49170204	+	15:49155656-49156016	15:49170204-49170375	0.566455812663843	0.433544187336156	14188	Y	N
ENSG00000156970	15	40161255	40165053	+	15:40161023-40161255	15:40165053-40165196	0.330687795481224	0.809398411415328	3798	Y	N
ENSG00000157224	7	90403549	90403567	+	7:90403386-90403549	7:90403567-90403682	0.816342113768584	0.230716709760827	18	N	N
ENSG00000157326	14	23953916	23965762	+	14:23953734-23953916	14:23965762-23965832	0.909836065573771	0.360655737704918	11846	Y	N
ENSG00000157500	3	57227937	57253682	+	3:57227726-57227937	3:57253682-57253738	0.722895161856611	0.66642089740889	25745	Y	N
ENSG00000157600	X	110002772	110003095	+	X:110002631-110002772	X:110003095-110003178	1	1	323	N	N
ENSG00000157827	2	152335720	152614851	+	2:152335174-152335720	2:152614851-152615000	0.325184224604263	0.595588235294118	279131	Y	N
ENSG00000158079	9	94031127	94104275	+	9:94030794-94031127	9:94104275-94104385	1	1	73148	Y	Y
ENSG00000158092	3	136862353	136927984	+	3:136862208-136862353	3:136927984-136928724	0.813106796116505	0.747572815533981	65631	Y	Y
ENSG00000158234	3	138608937	138608940	+	3:138608606-138608937	3:138608940-138609146	0.355335160297707	0.155885296990166	3	N	N
ENSG00000158417	2	99337589	99364271	+	2:99337371-99337589	2:99364271-99364421	0.0911415256478703	0.407232717842832	26682	Y	N
ENSG00000158545	16	88570566	88586600	+	16:88570381-88570566	16:88586600-88586684	0.446948723339984	0.302325759431651	16034	Y	N
ENSG00000158636	11	76445128	76472564	+	11:76444923-76445128	11:76472564-76472840	0.400665241406435	0.599334758593565	27436	Y	N
ENSG00000158747	1	19597109	19644163	+	1:19596979-19597109	1:19644163-19644446	0.769796078570754	0.230203921429246	47054	Y	Y
ENSG00000158805	16	89721276	89721537	+	16:89720985-89721276	16:89721537-89721845	1	1	261	N	N
ENSG00000158941	8	22604842	22605038	+	8:22604632-22604842	8:22605038-22605418	0.802885071279958	0.197114928720042	196	N	N
ENSG00000159023	1	28887210	28914544	+	1:28887091-28887210	1:28914544-28914773	0.543758884150675	0.456241115849325	27334	Y	N
ENSG00000159140	21	33543169	33572213	+	21:33543038-33543169	21:33572213-33572630	0.987712665406427	0.0491493383742911	29044	Y	N
ENSG00000159352	1	151254808	151262161	+	1:151254703-151254808	1:151262161-151262910	0.226653160492089	0.386922231579199	7353	N	N
ENSG00000159433	15	42651085	42682104	+	15:42651016-42651085	15:42682104-42682575	1	1	31019	Y	N
ENSG00000159840	7	143381779	143382248	+	7:143381295-143381779	7:143382248-143382685	0.502451147042565	0.737882186290768	469	N	N
ENSG00000160094	1	33256654	33280124	+	1:33256492-33256654	1:33280124-33280457	1	1	23470	Y	Y
ENSG00000160221	21	44134154	44140250	+	21:44133610-44134154	21:44140250-44140604	0.152199212713863	0.847800787286137	6096	Y	N
ENSG00000160299	21	46324282	46324888	+	21:46324141-46324282	21:46324888-46325210	0.108281345100426	0.125404989534518	606	N	N
ENSG00000160633	19	5623394	5641594	+	19:5623035-5623394	19:5641594-5641658	0.0811103049537607	0.211023700075896	18200	Y	Y
ENSG00000160796	3	46979912	46991406	+	3:46979666-46979912	3:46991406-46991688	0.889705882352941	0.426470588235294	11494	Y	Y
ENSG00000160877	19	13116935	13118264	+	19:13116862-13116935	19:13118264-13118454	0.388521917538945	0.611478082461055	1329	Y	N
ENSG00000160972	8	144478127	144478351	+	8:144477969-144478127	8:144478351-144478522	0.855140692640693	0.238203463203463	224	N	N
ENSG00000160999	7	102287094	102308815	+	7:102286888-102287094	7:102308815-102308906	1	1	21721	Y	N
ENSG00000161011	5	179806591	179820878	+	5:179806398-179806591	5:179820878-179821141	0.0116202767921974	0.989863402733025	14287	Y	Y
ENSG00000161202	3	184155796	184165422	+	3:184155377-184155796	3:184165422-184165491	0.42708044306839	0.57291955693161	9626	Y	N
ENSG00000161203	3	184175110	184180849	+	3:184174689-184175110	3:184180849-184182080	0.656708774562291	0.411282097993853	5739	Y	N
ENSG00000161204	3	184186280	184188929	+	3:184186023-184186280	3:184188929-184188988	0.931906614785992	0.408560311284047	2649	Y	N
ENSG00000161692	17	44708839	44708844	+	17:44708608-44708839	17:44708844-44708938	0.657372872672074	0.342627127327926	5	N	N
ENSG00000162378	1	52726683	52813536	+	1:52726453-52726683	1:52813536-52813733	0.840909090909091	0.636363636363636	86853	Y	N
ENSG00000162419	1	28668839	28683564	+	1:28668732-28668839	1:28683564-28683740	0.658501328332552	0.818799812470699	14725	Y	N
ENSG00000162430	1	25800413	25801043	+	1:25800176-25800413	1:25801043-25801160	0.871647509578544	0.770114942528736	630	Y	N
ENSG00000162433	1	65147665	65147669	+	1:65147549-65147665	1:65147669-65148057	0.145850681591274	0.132839241204939	4	N	N
ENSG00000162437	1	64745421	64777623	+	1:64745095-64745421	1:64777623-64778092	0.636146079202727	0.563040912667191	32202	Y	Y
ENSG00000162458	1	15758848	15764953	+	1:15758784-15758848	1:15764953-15765233	1	1	6105	N	N
ENSG00000162521	1	32651322	32651356	+	1:32651142-32651322	1:32651356-32651432	0.870626475646663	0.129373524353337	34	N	N
ENSG00000162607	1	62436562	62437049	+	1:62436297-62436562	1:62437049-62437400	1	1	487	N	N
ENSG00000162614	1	77888759	77926414	+	1:77888513-77888759	1:77926414-77926892	0.968553459119497	0.188679245283019	37655	Y	N
ENSG00000162616	1	77979619	78004935	+	1:77979175-77979619	1:78004935-78005321	0.534013134466587	0.567266683276646	25316	Y	N
